participant_id,source_row,duration_seconds,finished,possible_duplicate_submission,stimulus_set,item_position_in_source_block,source_column_number,condition_code,polarity,continuation_type,response_text
P001,2,260,true,false,3,1,34,neg_manner,negative,manner,Limanda
P001,2,260,true,false,3,2,35,aff_temporal,affirmative,temporal,Dersten sonra
P001,2,260,true,false,3,3,36,aff_filler,affirmative,filler,Yenileri
P001,2,260,true,false,3,4,37,neg_reduplication,negative,reduplication,Hüngür hüngür
P001,2,260,true,false,3,5,38,aff_manner,affirmative,manner,Fokur fokur
P001,2,260,true,false,3,6,39,neg_filler,negative,filler,Arkadaşlarına
P001,2,260,true,false,3,7,40,neg_temporal,negative,temporal,Gündüz
P001,2,260,true,false,3,8,41,aff_reduplication,affirmative,reduplication,Kolaylıkla
P002,3,267,true,false,1,1,18,neg_reduplication,negative,reduplication,Sahilde
P002,3,267,true,false,1,2,19,aff_manner,affirmative,manner,Bağırarak
P002,3,267,true,false,1,3,20,neg_filler,negative,filler,Kemikleri
P002,3,267,true,false,1,4,21,neg_temporal,negative,temporal,Evde
P002,3,267,true,false,1,5,22,aff_reduplication,affirmative,reduplication,Çorba
P002,3,267,true,false,1,6,23,aff_filler,affirmative,filler,Çikolataları
P002,3,267,true,false,1,7,24,neg_manner,negative,manner,Bisiklet
P002,3,267,true,false,1,8,25,aff_temporal,affirmative,temporal,Gece
P003,4,220,true,false,3,1,34,neg_manner,negative,manner,Sonradan
P003,4,220,true,false,3,2,35,aff_temporal,affirmative,temporal,Sonra
P003,4,220,true,false,3,3,36,aff_filler,affirmative,filler,Yenileri
P003,4,220,true,false,3,4,37,neg_reduplication,negative,reduplication,Kız
P003,4,220,true,false,3,5,38,aff_manner,affirmative,manner,Süt
P003,4,220,true,false,3,6,39,neg_filler,negative,filler,Yeğenine
P003,4,220,true,false,3,7,40,neg_temporal,negative,temporal,Düz yolda
P003,4,220,true,false,3,8,41,aff_reduplication,affirmative,reduplication,Daha sonra
P004,5,340,true,false,6,1,58,aff_temporal,affirmative,temporal,Dün
P004,5,340,true,false,6,2,59,neg_reduplication,negative,reduplication,Sesli
P004,5,340,true,false,6,3,60,aff_filler,affirmative,filler,Yenileri
P004,5,340,true,false,6,4,61,aff_manner,affirmative,manner,Sesli
P004,5,340,true,false,6,5,62,neg_temporal,negative,temporal,Daha önce
P004,5,340,true,false,6,6,63,neg_filler,negative,filler,Mektubu
P004,5,340,true,false,6,7,64,aff_reduplication,affirmative,reduplication,Hızlı hızlı
P004,5,340,true,false,6,8,65,neg_manner,negative,manner,Sessizce
P005,6,296,true,false,2,1,26,aff_reduplication,affirmative,reduplication,Ama içindeki insanlar
P005,6,296,true,false,2,2,27,neg_manner,negative,manner,Bağırarak
P005,6,296,true,false,2,3,28,aff_filler,affirmative,filler,Ama etlerinden
P005,6,296,true,false,2,4,29,aff_temporal,affirmative,temporal,Ama bugün
P005,6,296,true,false,2,5,30,neg_reduplication,negative,reduplication,Ama süt
P005,6,296,true,false,2,6,31,neg_filler,negative,filler,Onun yerine çırağı
P005,6,296,true,false,2,7,32,aff_manner,affirmative,manner,Ama yanındaki tren
P005,6,296,true,false,2,8,33,neg_temporal,negative,temporal,Gece
P006,7,280,true,false,1,1,18,neg_reduplication,negative,reduplication,Cayır cayır
P006,7,280,true,false,1,2,19,aff_manner,affirmative,manner,Dersleri
