"study_id","participant_id","trial","rating","scenario","trial_type","polarity","iconicity_condition","adverb_type","semantic_class","morphological_integration","catch_grammaticality","attention_check_failure","attention_check_failures","included","exclusion_reason"
"exp3","exp3_001","Filler_Neg_UnGr_1_27",0,,"catch","negative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Neg_UnGr_1_24",0,,"catch","negative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Neg_Gr_1_28",90,,"catch","negative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Neg_Gr_1_21",55,,"catch","negative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Aff_UnGr_1_26",0,,"catch","affirmative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Aff_UnGr_1_22",0,,"catch","affirmative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Aff_Gr_1_25",100,,"catch","affirmative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_001","Filler_Aff_Gr_1_23",100,,"catch","affirmative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_001","8_NonIde_Red_Aff_1",100,"8","experimental","affirmative","nonideophone","reduplication","manner","low",,FALSE,0,TRUE,""
"exp3","exp3_001","8_Ide_Red_Aff_1",100,"8","experimental","affirmative","ideophone","reduplication","manner","low",,FALSE,0,TRUE,""
"exp3","exp3_001","7_NonIde_Red_Neg_1",90,"7","experimental","negative","nonideophone","reduplication","manner","low",,FALSE,0,TRUE,""
"exp3","exp3_001","7_Ide_Red_Neg_1",90,"7","experimental","negative","ideophone","reduplication","manner","low",,FALSE,0,TRUE,""
"exp3","exp3_001","6_NonIde_RegMod_Aff_1",100,"6","experimental","affirmative","nonideophone","manner","manner",,,FALSE,0,TRUE,""
"exp3","exp3_001","6_Ide_RegMod_Aff_1",100,"6","experimental","affirmative","ideophone","manner","manner",,,FALSE,0,TRUE,""
"exp3","exp3_001","5_NonIde_RegMod_Neg_1",71,"5","experimental","negative","nonideophone","manner","manner",,,FALSE,0,TRUE,""
"exp3","exp3_001","5_Ide_RegMod_Neg_1",90,"5","experimental","negative","ideophone","manner","manner",,,FALSE,0,TRUE,""
"exp3","exp3_001","4_NonIde_Cont_Aff_1",100,"4","experimental","affirmative","nonideophone","temporal","temporal",,,FALSE,0,TRUE,""
"exp3","exp3_001","4_Ide_Cont_Aff_1",100,"4","experimental","affirmative","ideophone","temporal","temporal",,,FALSE,0,TRUE,""
"exp3","exp3_001","3_NonIde_Cont_Neg_1",85,"3","experimental","negative","nonideophone","temporal","temporal",,,FALSE,0,TRUE,""
"exp3","exp3_001","3_Ide_Cont_Neg_1",90,"3","experimental","negative","ideophone","temporal","temporal",,,FALSE,0,TRUE,""
"exp3","exp3_001","2_NonIde_Cvb_Aff_1",100,"2","experimental","affirmative","nonideophone","converbial","manner","high",,FALSE,0,TRUE,""
"exp3","exp3_001","2_Ide_Cvb_Aff_1",65,"2","experimental","affirmative","ideophone","converbial","manner","high",,FALSE,0,TRUE,""
"exp3","exp3_001","1_NonIde_Cvb_Neg_1",56,"1","experimental","negative","nonideophone","converbial","manner","high",,FALSE,0,TRUE,""
"exp3","exp3_001","1_Ide_Cvb_Neg_1",55,"1","experimental","negative","ideophone","converbial","manner","high",,FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Neg_UnGr_1_27",0,,"catch","negative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Neg_UnGr_1_24",0,,"catch","negative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Neg_Gr_1_28",65,,"catch","negative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Neg_Gr_1_21",62,,"catch","negative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Aff_UnGr_1_26",0,,"catch","affirmative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Aff_UnGr_1_22",0,,"catch","affirmative",,,,,"ungrammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Aff_Gr_1_25",100,,"catch","affirmative",,,,,"grammatical",FALSE,0,TRUE,""
"exp3","exp3_002","Filler_Aff_Gr_1_23",100,,"catch","affirmative",,,,,"grammatical",FALSE,0,TRUE,""
