trial_id,experiments,trial_type,item,negation_position,continuation_option,intended_status,first_clause,continuation,full_sentence,first_clause_en,continuation_en,full_sentence_en
exp12_c01_neg_continuation_o1,Experiments I and II,catch,1,continuation,1,felicitous,Çocuk ıspanağı yedi,köfteyi yemedi,"Çocuk ıspanağı yedi, köfteyi yemedi.",The child ate the spinach,she did not eat the meatball,"The child ate the spinach, she did not eat the meatball."
exp12_c01_neg_continuation_o2,Experiments I and II,catch,1,continuation,2,felicitous,Çocuk ıspanağı yedi,kızartmayı yemedi,"Çocuk ıspanağı yedi, kızartmayı yemedi.",The child ate the spinach,she did not eat the fries,"The child ate the spinach, she did not eat the fries."
exp12_c02_neg_continuation_o1,Experiments I and II,catch,2,continuation,1,infelicitous_or_ungrammatical,Masa rüyadan götürdü,dün götürmeyik,"Masa rüyadan götürdü, dün götürmeyik.",The table brought from the dream,it bring.not.[nonce suffix] yesterday,"The table brought from the dream, it bring.not.[nonce suffix] yesterday."
exp12_c02_neg_continuation_o2,Experiments I and II,catch,2,continuation,2,infelicitous_or_ungrammatical,Masa rüyadan götürdü,fazla götürmeyik,"Masa rüyadan götürdü, fazla götürmeyik.",The table brought from the dream,it bring.not.[nonce suffix] much,"The table brought from the dream, it bring.not.[nonce suffix] much."
exp12_c03_neg_continuation_o1,Experiments I and II,catch,3,continuation,1,felicitous,Yaramaz kedi ağaçtan atladı,balkondan atlamadı,"Yaramaz kedi ağaçtan atladı, balkondan atlamadı.",The mischievous cat jumped from the tree,she did not jump from the balcony,"The mischievous cat jumped from the tree, she did not jump from the balcony."
exp12_c03_neg_continuation_o2,Experiments I and II,catch,3,continuation,2,infelicitous_or_ungrammatical,Yaramaz kedi ağaçtan atladı,iki gün önce atlamadılar,"Yaramaz kedi ağaçtan atladı, iki gün önce atlamadılar.",The mischievous cat jumped from the tree,they(pl.) did not jump two days ago,"The mischievous cat jumped from the tree, they(pl.) did not jump two days ago."
exp12_c04_neg_continuation_o1,Experiments I and II,catch,4,continuation,1,infelicitous_or_ungrammatical,Otobüs Ankara’da durdu,yarın durmadı,"Otobüs Ankara’da durdu, yarın durmadı.",The bus stopped in Ankara,it did not stop tomorrow,"The bus stopped in Ankara, it did not stop tomorrow."
exp12_c04_neg_continuation_o2,Experiments I and II,catch,4,continuation,2,felicitous,Otobüs Ankara’da durdu,Eskişehir’de durmadı,"Otobüs Ankara’da durdu, Eskişehir’de durmadı.",The bus stopped in Ankara,it did not stop in Eskişehir,"The bus stopped in Ankara, it did not stop in Eskişehir."
exp12_c01_neg_first_clause_o1,Experiments I and II,catch,1,first_clause,1,felicitous,Çocuk ıspanağı yemedi,köfteyi yedi,"Çocuk ıspanağı yemedi, köfteyi yedi.",The child did not eat the spinach,she ate the meatball,"The child did not eat the spinach, she ate the meatball."
exp12_c01_neg_first_clause_o2,Experiments I and II,catch,1,first_clause,2,felicitous,Çocuk ıspanağı yemedi,kızartmayı yedi,"Çocuk ıspanağı yemedi, kızartmayı yedi.",The child did not eat the spinach,she ate the fries,"The child did not eat the spinach, she ate the fries."
exp12_c02_neg_first_clause_o1,Experiments I and II,catch,2,first_clause,1,infelicitous_or_ungrammatical,Masa rüyadan götürmedi,dün götürdüyük,"Masa rüyadan götürmedi, dün götürdüyük.",The table did not bring from the dream,it bring.[nonce suffix] yesterday,"The table did not bring from the dream, it bring.[nonce suffix] yesterday."
exp12_c02_neg_first_clause_o2,Experiments I and II,catch,2,first_clause,2,infelicitous_or_ungrammatical,Masa rüyadan götürmedi,fazla götürdüyük,"Masa rüyadan götürmedi, fazla götürdüyük.",The table did not bring from the dream,it bring.[nonce suffix] much,"The table did not bring from the dream, it bring.[nonce suffix] much."
exp12_c03_neg_first_clause_o1,Experiments I and II,catch,3,first_clause,1,felicitous,Yaramaz kedi ağaçtan atlamadı,balkondan atladı,"Yaramaz kedi ağaçtan atlamadı, balkondan atladı.",The mischievous cat did not jump from the tree,she jumped from the balcony,"The mischievous cat did not jump from the tree, she jumped from the balcony."
exp12_c03_neg_first_clause_o2,Experiments I and II,catch,3,first_clause,2,infelicitous_or_ungrammatical,Yaramaz kedi ağaçtan atlamadı,iki gün önce atladılar,"Yaramaz kedi ağaçtan atlamadı, iki gün önce atladılar.",The mischievous cat did not jump from the tree,they(pl.) jumped two days ago,"The mischievous cat did not jump from the tree, they(pl.) jumped two days ago."
exp12_c04_neg_first_clause_o1,Experiments I and II,catch,4,first_clause,1,infelicitous_or_ungrammatical,Otobüs Ankara’da durmadı,yarın durdu,"Otobüs Ankara’da durmadı, yarın durdu.",The bus did not stop in Ankara,it stopped tomorrow,"The bus did not stop in Ankara, it stopped tomorrow."
exp12_c04_neg_first_clause_o2,Experiments I and II,catch,4,first_clause,2,felicitous,Otobüs Ankara’da durmadı,Eskişehir’de durdu,"Otobüs Ankara’da durmadı, Eskişehir’de durdu.",The bus did not stop in Ankara,it stopped in Eskişehir,"The bus did not stop in Ankara, it stopped in Eskişehir."
