"continuation_type","adverb_type","negation_position","observations"
"match","temporal","second_clause",50
"mismatch","temporal","second_clause",50
"match","manner","second_clause",42
"mismatch","manner","second_clause",42
"match","ideophone","second_clause",58
"mismatch","ideophone","second_clause",58
"match","temporal","first_clause",50
"mismatch","temporal","first_clause",50
"match","manner","first_clause",50
"mismatch","manner","first_clause",50
"match","ideophone","first_clause",50
"mismatch","ideophone","first_clause",50
