"field","value"
"study","Experiment I"
"analysis","Extended analysis including ideophones"
"input_file","data/processed/exp1_contrastive_canonical.csv"
"participants","50"
"observations","600"
"temporal_observations","200"
"manner_observations","184"
"ideophone_observations","216"
"scenarios","6"
"response_scale","Ordinal ratings from 1 to 5"
"model_family","Cumulative link mixed model"
"link","logit"
"fixed_effects","continuation_type * adverb_type * negation_position"
"random_effects","Random intercepts for participant_id and scenario"
"contrast_coding","Sum coding"
"rating_order","1 < 2 < 3 < 4 < 5"
"pairwise_reporting","Unadjusted p-values reproduce the dissertation; Holm-adjusted p-values are also supplied"
