"effect","contrast","context","estimate","std_error","lower_95","upper_95","statistic","p_value","p_value_holm","significance","display_label"
"Continuation contrast","match - mismatch","adverb type = temporal; negation position = second clause",1.67885952734584,0.402352200488623,0.890263705287699,2.46745534940398,4.17261176975546,3.01127796758759e-05,6.02255593517517e-05,"Holm-adjusted p < .05","Continuation contrast: match - mismatch
adverb type = temporal; negation position = second clause"
"Continuation contrast","match - mismatch","adverb type = manner; negation position = second clause",0.183766329547118,0.42798210245262,-0.655063177287749,1.02259583638198,0.429378538247313,0.667647769753083,0.667647769753083,"Holm-adjusted p >= .05","Continuation contrast: match - mismatch
adverb type = manner; negation position = second clause"
"Continuation contrast","match - mismatch","adverb type = temporal; negation position = first clause",2.86569474587125,0.423970847353106,2.03472715456423,3.69666233717826,6.75917875901628,1.38776088574166e-11,5.55104354296663e-11,"Holm-adjusted p < .05","Continuation contrast: match - mismatch
adverb type = temporal; negation position = first clause"
"Continuation contrast","match - mismatch","adverb type = manner; negation position = first clause",2.14090352868066,0.410381955252622,1.33656967648039,2.94523738088092,5.21685591015513,1.81985715630686e-07,5.45957146892057e-07,"Holm-adjusted p < .05","Continuation contrast: match - mismatch
adverb type = manner; negation position = first clause"
"Adverb-type contrast","temporal - manner","continuation type = match; negation position = second clause",0.565339163901127,0.436333192538281,-0.289858178733284,1.42053650653554,1.29565931166588,0.195092885193274,0.54660812228562,"Holm-adjusted p >= .05","Adverb-type contrast: temporal - manner
continuation type = match; negation position = second clause"
"Adverb-type contrast","temporal - manner","continuation type = mismatch; negation position = second clause",-0.929754033897594,0.407337460927377,-1.72812078686924,-0.131387280925945,-2.28251541554966,0.0224589284147149,0.0898357136588594,"Holm-adjusted p >= .05","Adverb-type contrast: temporal - manner
continuation type = mismatch; negation position = second clause"
"Adverb-type contrast","temporal - manner","continuation type = match; negation position = first clause",0.226365335250664,0.427186361492166,-0.610904547960688,1.06363521846202,0.529898319927556,0.596182431087299,0.596182431087299,"Holm-adjusted p >= .05","Adverb-type contrast: temporal - manner
continuation type = match; negation position = first clause"
"Adverb-type contrast","temporal - manner","continuation type = mismatch; negation position = first clause",-0.498425881939929,0.373631613108581,-1.23073038711835,0.233878623238493,-1.33400350626937,0.18220270742854,0.54660812228562,"Holm-adjusted p >= .05","Adverb-type contrast: temporal - manner
continuation type = mismatch; negation position = first clause"
"Negation-position contrast","second_clause - first_clause","continuation type = match; adverb type = temporal",-0.547720265246557,0.432259561554694,-1.39493343786683,0.299492907373717,-1.26710965808735,0.205116082632361,0.205116082632361,"Holm-adjusted p >= .05","Negation-position contrast: second clause - first clause
continuation type = match; adverb type = temporal"
"Negation-position contrast","second_clause - first_clause","continuation type = mismatch; adverb type = temporal",0.639114953278852,0.366741622816078,-0.079685419072433,1.35791532563014,1.74268453188192,0.0813887350427544,0.162777470085509,"Holm-adjusted p >= .05","Negation-position contrast: second clause - first clause
continuation type = mismatch; adverb type = temporal"
"Negation-position contrast","second_clause - first_clause","continuation type = match; adverb type = manner",-0.88669409389702,0.433401031243738,-1.73614450599727,-0.0372436817967743,-2.04589751748504,0.0407664546508494,0.122299363952548,"Holm-adjusted p >= .05","Negation-position contrast: second clause - first clause
continuation type = match; adverb type = manner"
"Negation-position contrast","second_clause - first_clause","continuation type = mismatch; adverb type = manner",1.07044310523652,0.40995700235881,0.266942145403248,1.87394406506979,2.61111067521082,0.00902486815012955,0.0360994726005182,"Holm-adjusted p < .05","Negation-position contrast: second clause - first clause
continuation type = mismatch; adverb type = manner"
