"field","value"
"study","Experiment I"
"analysis","Primary manner–temporal analysis"
"input_file","data/processed/exp1_contrastive_canonical.csv"
"participants","50"
"observations","384"
"scenarios","6"
"response_scale","Ordinal ratings from 1 to 5"
"model_family","Cumulative link mixed model"
"link","logit"
"fixed_effects","continuation_type * adverb_type * negation_position"
"random_effects","Random intercepts for participant_id and scenario"
"contrast_coding","Sum coding"
"rating_order","1 < 2 < 3 < 4 < 5"
