"rating","continuation_type","adverb_type","negation_position","predicted_probability","std_error","lower_95","upper_95"
"1","match","temporal","second_clause",0.0209149863980755,0.00876595362031233,0.00373403301211483,0.0380959397840362
"2","match","temporal","second_clause",0.0555764486226376,0.0202864620956443,0.0158157135414379,0.0953371837038373
"3","match","temporal","second_clause",0.0591459204046618,0.01970280564453,0.0205291309469905,0.097762709862333
"4","match","temporal","second_clause",0.300861087457836,0.0526235419447929,0.197720840507109,0.404001334408563
"5","match","temporal","second_clause",0.563501557116789,0.09128941913416,0.384577583444254,0.742425530789325
"1","mismatch","temporal","second_clause",0.102726279706946,0.034047139069681,0.0359951133537448,0.169457446060147
"2","mismatch","temporal","second_clause",0.204708005101198,0.0457760896017999,0.114988518128592,0.294427492073804
"3","mismatch","temporal","second_clause",0.14938652303097,0.0260173631192439,0.0983934283445516,0.200379617717389
"4","mismatch","temporal","second_clause",0.349061681859695,0.0420650674922789,0.266615664567582,0.431507699151808
"5","mismatch","temporal","second_clause",0.19411751030119,0.0547937222279509,0.0867237881555148,0.301511232446866
"1","match","manner","second_clause",0.0362353013400894,0.0149546047475568,0.00692481463184644,0.0655457880483323
"2","match","manner","second_clause",0.0909961925799101,0.0313296917652595,0.0295911250732604,0.15240126008656
"3","match","manner","second_clause",0.0891857544611323,0.0262689025894839,0.0376996514723529,0.140671857449912
"4","match","manner","second_clause",0.360456754152321,0.0411449773687492,0.279814080364858,0.441099427939785
"5","match","manner","second_clause",0.423125997466547,0.0937739534569479,0.239332426002994,0.6069195689301
"1","mismatch","manner","second_clause",0.0432292266175619,0.0176142870562134,0.00870585837403357,0.0777525948610902
"2","mismatch","manner","second_clause",0.105843065309966,0.0349460650636935,0.037350036383733,0.174336094236198
"3","mismatch","manner","second_clause",0.100124232351948,0.0273976557041733,0.0464258139109395,0.153822650792956
"4","mismatch","manner","second_clause",0.371785900792479,0.0363033216649786,0.300632697809948,0.44293910377501
"5","mismatch","manner","second_clause",0.379017574928046,0.0899989995445133,0.202622777176163,0.555412372679928
"1","match","temporal","first_clause",0.0122020670641107,0.0054220238291011,0.00157509563575455,0.0228290384924668
"2","match","temporal","first_clause",0.0335048338305703,0.0132090189100683,0.00761563249572789,0.0593940351654127
"3","match","temporal","first_clause",0.0374865504883746,0.0138147294232181,0.0104101783627014,0.0645629226140479
"4","match","temporal","first_clause",0.22616815159895,0.0534223398420624,0.121462289538648,0.330874013659251
"5","match","temporal","first_clause",0.690638397017995,0.0804195748321609,0.533018926694936,0.848257867341054
"1","mismatch","temporal","first_clause",0.17826041657697,0.0529928285598412,0.0743963811607759,0.282124451993164
"2","mismatch","temporal","first_clause",0.278590475737041,0.0456670544940766,0.189084693648623,0.368096257825459
"3","mismatch","temporal","first_clause",0.1575778384706,0.0250637345262412,0.108453821481094,0.206701855460106
"4","mismatch","temporal","first_clause",0.272784788284709,0.0508565263793628,0.173107828202346,0.372461748367071
"5","mismatch","temporal","first_clause",0.11278648093068,0.0360475167584483,0.042134646352017,0.183438315509342
"1","match","manner","first_clause",0.0152545186161107,0.00656102585012221,0.00239514424823489,0.0281138929839865
"2","match","manner","first_clause",0.0414055906704233,0.0156431707633691,0.0107455393702098,0.0720656419706368
"3","match","manner","first_clause",0.0455080680271903,0.0159064427483707,0.0143320131182354,0.0766841229361452
"4","match","manner","first_clause",0.257514836384623,0.0537085980470114,0.152247918552343,0.362781754216904
"5","match","manner","first_clause",0.640316986301652,0.0847113948024727,0.474285703408653,0.806348269194652
"1","mismatch","manner","first_clause",0.116437855919135,0.0382672060853894,0.0414355102028001,0.19144020163547
"2","mismatch","manner","first_clause",0.221733777101497,0.0476591164465448,0.128323625331269,0.315143928871725
"3","mismatch","manner","first_clause",0.153714331989842,0.0255945519417995,0.103549931983476,0.203878731996209
"4","mismatch","manner","first_clause",0.335063984371828,0.0456941335336685,0.245505128341074,0.424622840402582
"5","mismatch","manner","first_clause",0.173050050617698,0.051176043820135,0.0727468478589894,0.273353253376406
