"participant_id","adverb_type","observations"
"exp2_001","temporal",4
"exp2_002","temporal",4
"exp2_003","temporal",4
"exp2_004","temporal",4
"exp2_005","temporal",4
"exp2_006","temporal",4
"exp2_007","temporal",4
"exp2_008","temporal",4
"exp2_009","temporal",4
"exp2_010","temporal",4
"exp2_011","temporal",4
"exp2_012","temporal",4
"exp2_013","temporal",4
"exp2_014","temporal",4
"exp2_015","temporal",4
"exp2_016","temporal",4
"exp2_017","temporal",4
"exp2_018","temporal",4
"exp2_019","temporal",4
"exp2_020","temporal",4
"exp2_021","temporal",4
"exp2_022","temporal",4
"exp2_023","temporal",4
"exp2_024","temporal",4
"exp2_025","temporal",4
"exp2_026","temporal",4
"exp2_027","temporal",4
"exp2_028","temporal",4
"exp2_029","temporal",4
"exp2_030","temporal",4
"exp2_031","temporal",4
"exp2_032","temporal",4
"exp2_033","temporal",4
"exp2_034","temporal",4
"exp2_035","temporal",4
"exp2_036","temporal",4
"exp2_037","temporal",4
"exp2_038","temporal",4
"exp2_039","temporal",4
"exp2_040","temporal",4
"exp2_041","temporal",4
"exp2_042","temporal",4
"exp2_043","temporal",4
"exp2_044","temporal",4
"exp2_045","temporal",4
"exp2_046","temporal",4
"exp2_047","temporal",4
"exp2_048","temporal",4
"exp2_049","temporal",4
"exp2_001","manner",4
"exp2_002","manner",4
"exp2_003","manner",4
"exp2_004","manner",4
"exp2_005","manner",4
"exp2_006","manner",4
"exp2_007","manner",4
"exp2_008","manner",4
"exp2_009","manner",4
"exp2_010","manner",4
"exp2_011","manner",4
"exp2_012","manner",4
"exp2_013","manner",4
"exp2_014","manner",4
"exp2_015","manner",4
"exp2_016","manner",4
"exp2_017","manner",4
"exp2_018","manner",4
"exp2_019","manner",4
"exp2_020","manner",4
"exp2_021","manner",4
"exp2_022","manner",4
"exp2_023","manner",4
"exp2_024","manner",4
"exp2_025","manner",4
"exp2_026","manner",4
"exp2_027","manner",4
"exp2_028","manner",4
"exp2_029","manner",4
"exp2_030","manner",4
"exp2_031","manner",4
"exp2_032","manner",4
"exp2_033","manner",4
"exp2_034","manner",4
"exp2_035","manner",4
"exp2_036","manner",4
"exp2_037","manner",4
"exp2_038","manner",4
"exp2_039","manner",4
"exp2_040","manner",4
"exp2_041","manner",4
"exp2_042","manner",4
"exp2_043","manner",4
"exp2_044","manner",4
"exp2_045","manner",4
"exp2_046","manner",4
"exp2_047","manner",4
"exp2_048","manner",4
"exp2_049","manner",4
"exp2_001","ideophone",4
"exp2_002","ideophone",4
"exp2_003","ideophone",4
"exp2_004","ideophone",4
"exp2_005","ideophone",4
"exp2_006","ideophone",4
"exp2_007","ideophone",4
"exp2_008","ideophone",4
"exp2_009","ideophone",4
"exp2_010","ideophone",4
"exp2_011","ideophone",4
"exp2_012","ideophone",4
"exp2_013","ideophone",4
"exp2_014","ideophone",4
"exp2_015","ideophone",4
"exp2_016","ideophone",4
"exp2_017","ideophone",4
"exp2_018","ideophone",4
"exp2_019","ideophone",4
"exp2_020","ideophone",4
"exp2_021","ideophone",4
"exp2_022","ideophone",4
"exp2_023","ideophone",4
"exp2_024","ideophone",4
"exp2_025","ideophone",4
"exp2_026","ideophone",4
"exp2_027","ideophone",4
"exp2_028","ideophone",4
"exp2_029","ideophone",4
"exp2_030","ideophone",4
"exp2_031","ideophone",4
"exp2_032","ideophone",4
"exp2_033","ideophone",4
"exp2_034","ideophone",4
"exp2_035","ideophone",4
"exp2_036","ideophone",4
"exp2_037","ideophone",4
"exp2_038","ideophone",4
"exp2_039","ideophone",4
"exp2_040","ideophone",4
"exp2_041","ideophone",4
"exp2_042","ideophone",4
"exp2_043","ideophone",4
"exp2_044","ideophone",4
"exp2_045","ideophone",4
"exp2_046","ideophone",4
"exp2_047","ideophone",4
"exp2_048","ideophone",4
"exp2_049","ideophone",4
