"iconicity_condition","adverb_type","polarity","observations"
"ideophone","manner","affirmative",114
"nonideophone","manner","affirmative",114
"ideophone","converbial","affirmative",114
"nonideophone","converbial","affirmative",114
"ideophone","reduplication","affirmative",114
"nonideophone","reduplication","affirmative",114
"ideophone","temporal","affirmative",114
"nonideophone","temporal","affirmative",114
"ideophone","manner","negative",114
"nonideophone","manner","negative",114
"ideophone","converbial","negative",114
"nonideophone","converbial","negative",114
"ideophone","reduplication","negative",114
"nonideophone","reduplication","negative",114
"ideophone","temporal","negative",114
"nonideophone","temporal","negative",114
