"contrast","polarity","iconicity_condition","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"manner - converbial","affirmative","ideophone",7.02742685407171,3.18766095251843,1688.15317702418,-1.16993692162961,15.224790629773,2.20457161497042,0.122358994130726
"manner - reduplication","affirmative","ideophone",3.68906966809987,3.18799837431582,1688.30495002654,-4.5091610845056,11.8873004207053,1.15717426264108,0.653996232971229
"manner - temporal","affirmative","ideophone",0.833024503792659,3.18799837431582,1688.30495002654,-7.36520624881281,9.03125525639813,0.26130016580433,0.993751029400968
"converbial - reduplication","affirmative","ideophone",-3.33835718597184,3.18799837431582,1688.30495002591,-11.5365879386084,4.8598735666647,-1.04716401766933,0.721647414701863
"converbial - temporal","affirmative","ideophone",-6.19440235027905,3.18799837431582,1688.30495002591,-14.3926331029156,2.00382840235749,-1.94303811450607,0.210500186175151
"reduplication - temporal","affirmative","ideophone",-2.85604516430721,3.18766095251843,1688.15317702355,-11.0534089399988,5.34131861138442,-0.895968927326094,0.806948242367394
"manner - converbial","negative","ideophone",5.33305110762083,3.18766095251843,1688.15317702397,-2.8643126680911,13.5304148833328,1.67302959350411,0.338323323143429
"manner - reduplication","negative","ideophone",1.32943914104456,3.18799837431583,1688.30495002633,-6.8687916115916,9.52766989368072,0.417013744974029,0.975578196879557
"manner - temporal","negative","ideophone",-13.3379066030211,3.18799837431582,1688.30495002633,-21.5361373556573,-5.13967585038498,-4.18378714069564,0.000176604720226181
"converbial - reduplication","negative","ideophone",-4.00361196657627,3.18799837431583,1688.30495002591,-12.2018427192128,4.19461878606027,-1.25583877295279,0.59128964583089
"converbial - temporal","negative","ideophone",-18.670957710642,3.18799837431582,1688.30495002591,-26.8691884632785,-10.4727269580054,-5.85663965862245,3.3950208866429e-08
"reduplication - temporal","negative","ideophone",-14.6673457440657,3.18766095251843,1688.15317702355,-22.8647095197573,-6.46998196837406,-4.60128789182478,2.67440239681838e-05
"manner - converbial","affirmative","nonideophone",3.15900580144039,3.18766095251843,1688.15317702397,-5.03835797427154,11.3563695771523,0.991010602600192,0.754593059380843
"manner - reduplication","affirmative","nonideophone",6.72415738739833,3.18799837431582,1688.30495002633,-1.47407336523782,14.9223881400345,2.10920979181534,0.150520760260324
"manner - temporal","affirmative","nonideophone",6.05232274940694,3.18799837431582,1688.30495002633,-2.14590800322922,14.2505535020431,1.89847109025136,0.22903069378576
"converbial - reduplication","affirmative","nonideophone",3.56515158595794,3.18799837431582,1688.30495002612,-4.63307916666833,11.7633823385842,1.11830407903613,0.678275551622073
"converbial - temporal","affirmative","nonideophone",2.89331694796654,3.18799837431582,1688.30495002612,-5.30491380465972,11.0915477005928,0.90756537747215,0.800821947239819
"reduplication - temporal","affirmative","nonideophone",-0.671834637991394,3.18766095251843,1688.15317702355,-8.86919841368303,7.52552913770024,-0.210761008776861,0.996691472200169
"manner - converbial","negative","nonideophone",0.587437072533204,3.18766095251843,1688.15317702376,-7.60992670314816,8.78480084821456,0.184284678102009,0.997779592541257
"manner - reduplication","negative","nonideophone",2.59259703578152,3.18799837431583,1688.30495002612,-5.60563371684475,10.7908277884078,0.813236624167952,0.848243918418521
"manner - temporal","negative","nonideophone",-12.6536960767052,3.18799837431582,1688.30495002612,-20.8519268293315,-4.45546532407898,-3.96916641446558,0.000436304711347257
"converbial - reduplication","negative","nonideophone",2.00515996324832,3.18799837431583,1688.30495002591,-6.19307078938824,10.2033907158849,0.628971450990354,0.922752412158244
"converbial - temporal","negative","nonideophone",-13.2411331492384,3.18799837431583,1688.30495002591,-21.439363901875,-5.0429023966019,-4.15343158764318,0.00020125538994431
"reduplication - temporal","negative","nonideophone",-15.2462931124868,3.18766095251843,1688.15317702355,-23.4436568881784,-7.04892933679513,-4.78290926782578,1.11674545428819e-05
