"field","value"
"study","Experiment III"
"input_file","data/processed/exp3_monoclause.csv"
"input_participants","116"
"included_participants","114"
"excluded_participants","2"
"primary_observations","912"
"full_observations","1824"
"scenarios","8"
"response_scale","Continuous ratings from 0 to 100"
"primary_model","rating ~ adverb_type * polarity + (1 | participant_id) + (1 | scenario)"
"full_model","rating ~ adverb_type * iconicity_condition * polarity + (1 | participant_id) + (1 | scenario)"
"random_effects","Random intercepts for participant and scenario"
"contrast_coding","Treatment coding with manner, affirmative, and ideophone as reference levels"
"pairwise_adjustment","Tukey"
