"contrast","polarity","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"manner - converbial","affirmative",7.01881529042366,3.1350199702682,784.16481941453,-1.05244502051149,15.0900756013588,2.23884229031664,0.113772018752521
"manner - reduplication","affirmative",3.73663162204094,3.13567423747468,784.327947217884,-4.33630952790996,11.8095727719918,1.19165172752455,0.632311980229635
"manner - temporal","affirmative",0.829227545479514,3.13567423747468,784.327947217884,-7.24371360447138,8.90216869543041,0.264449519522581,0.99352338192497
"converbial - reduplication","affirmative",-3.28218366838272,3.13567423747468,784.327947217884,-11.3551248183336,4.79075748156817,-1.04672342208164,0.721948330283044
"converbial - temporal","affirmative",-6.18958774494415,3.13567423747468,784.327947217884,-14.262528894895,1.88335340500675,-1.97392563008361,0.198746795034443
"reduplication - temporal","affirmative",-2.90740407656142,3.1350199702682,784.164819414485,-10.978664387494,5.16385623437114,-0.927395711713025,0.790173612273536
"manner - converbial","negative",5.42996325196879,3.1350199702682,784.16481941453,-2.64129705896635,13.5012235629039,1.73203466117132,0.307698918342774
"manner - reduplication","negative",1.30307825081354,3.13567423747468,784.32794721793,-6.76986289914532,9.37601940077241,0.415565569675689,0.975811663194492
"manner - temporal","negative",-13.4750155986877,3.13567423747467,784.32794721793,-21.5479567486465,-5.4020744487288,-4.29732637327142,0.000114330457271272
"converbial - reduplication","negative",-4.12688500115524,3.13567423747468,784.327947217884,-12.1998261511061,3.94605614879565,-1.31610769761557,0.552890223408523
"converbial - temporal","negative",-18.9049788506564,3.13567423747467,784.327947217884,-26.9779200006073,-10.8320377007056,-6.02899964056267,8.076141311264e-09
"reduplication - temporal","negative",-14.7780938495012,3.1350199702682,784.164819414485,-22.8493541604338,-6.70683353856864,-4.71387550626574,1.70608254037585e-05
